Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating
1,32,Other,GoPro Hero,2021-03-22,Technical Issue,Product setup,Pending Customer Response,Critical,Social Media,2023-06-01 12:15:36,,
2,42,Female,LG Smart TV,2021-05-22,Technical Issue,Peripheral compatibility,Pending Customer Response,Critical,Chat,2023-06-01 16:45:38,,
3,48,Other,Dell XPS,2020-07-14,Technical Issue,Network problem,Closed,Low,Social Media,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0
4,27,Female,Microsoft Office,2020-11-13,Billing Inquiry,Account access,Closed,Low,Social Media,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0
5,67,Female,Autodesk AutoCAD,2020-02-04,Billing Inquiry,Data loss,Closed,Low,Email,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0
6,53,Male,Microsoft Office,2020-07-28,Cancellation Request,Payment issue,Open,Low,Social Media,,,
7,24,Other,Microsoft Surface,2020-02-23,Product Inquiry,Refund request,Open,Critical,Social Media,,,
8,23,Male,Philips Hue Lights,2020-08-09,Refund Request,Battery life,Open,Critical,Social Media,,,
9,60,Other,Fitbit Versa Smartwatch,2020-07-16,Technical Issue,Installation support,Pending Customer Response,Low,Social Media,2023-06-01 10:32:47,,
10,27,Male,Dyson Vacuum Cleaner,2020-03-06,Refund Request,Payment issue,Pending Customer Response,Critical,Phone,2023-06-01 09:25:48,,
11,48,Male,Nintendo Switch,2021-01-19,Cancellation Request,Data loss,Closed,High,Phone,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0
12,51,Male,Microsoft Xbox Controller,2021-10-24,Product Inquiry,Software bug,Closed,High,Chat,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0
13,27,Other,Nintendo Switch Pro Controller,2021-05-26,Technical Issue,Hardware issue,Pending Customer Response,Low,Chat,2023-06-01 19:03:53,,
14,65,Other,Nest Thermostat,2020-07-13,Technical Issue,Product setup,Pending Customer Response,Low,Chat,2023-06-01 20:34:54,,
15,48,Female,Sony PlayStation,2020-02-29,Billing Inquiry,Product setup,Closed,High,Chat,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0
16,18,Other,GoPro Action Camera,2021-06-24,Billing Inquiry,Product recommendation,Pending Customer Response,High,Social Media,2023-06-01 15:09:57,,
17,63,Other,Xbox,2021-10-13,Product Inquiry,Account access,Closed,Critical,Chat,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0
18,56,Female,Microsoft Xbox Controller,2020-09-07,Product Inquiry,Payment issue,Pending Customer Response,High,Chat,2023-06-01 21:05:01,,
19,19,Male,LG Washing Machine,2021-09-23,Product Inquiry,Peripheral compatibility,Open,High,Social Media,,,
20,39,Female,Canon EOS,2021-03-08,Refund Request,Software bug,Closed,Low,Chat,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0
21,28,Other,HP Pavilion,2021-05-31,Refund Request,Payment issue,Pending Customer Response,High,Chat,2023-06-01 05:08:05,,
22,66,Male,Fitbit Versa Smartwatch,2020-02-04,Cancellation Request,Installation support,Pending Customer Response,Critical,Social Media,2023-05-31 23:57:07,,
23,54,Female,Xbox,2020-02-11,Cancellation Request,Delivery problem,Open,Medium,Social Media,,,
24,63,Female,Nintendo Switch Pro Controller,2021-08-06,Technical Issue,Refund request,Pending Customer Response,Low,Social Media,2023-06-01 09:06:09,,
25,19,Male,Amazon Kindle,2021-05-25,Product Inquiry,Display issue,Open,Critical,Email,,,
26,35,Other,HP Pavilion,2021-07-05,Product Inquiry,Refund request,Pending Customer Response,Medium,Social Media,2023-06-01 19:02:12,,
27,22,Other,Lenovo ThinkPad,2020-05-02,Billing Inquiry,Cancellation request,Pending Customer Response,Low,Social Media,2023-06-01 20:02:13,,
28,21,Other,Fitbit Charge,2020-10-12,Cancellation Request,Product setup,Open,High,Phone,,,
29,30,Other,Fitbit Charge,2020-06-10,Technical Issue,Product recommendation,Closed,Critical,Phone,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0
30,67,Male,Xbox,2020-12-26,Cancellation Request,Cancellation request,Closed,Medium,Phone,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0
31,22,Other,Adobe Photoshop,2021-01-28,Billing Inquiry,Product setup,Open,Low,Email,,,
32,60,Male,GoPro Action Camera,2021-12-20,Technical Issue,Product compatibility,Closed,Medium,Social Media,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0
33,36,Female,Fitbit Charge,2021-12-07,Billing Inquiry,Product recommendation,Pending Customer Response,Medium,Chat,2023-06-01 19:36:21,,
34,50,Male,Autodesk AutoCAD,2021-12-09,Refund Request,Hardware issue,Closed,Critical,Social Media,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0
35,27,Male,Microsoft Xbox Controller,2021-04-09,Refund Request,Installation support,Pending Customer Response,Low,Chat,2023-06-01 20:50:24,,
36,24,Other,GoPro Hero,2020-10-13,Cancellation Request,Product recommendation,Closed,High,Chat,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0
37,65,Female,Canon EOS,2020-03-14,Refund Request,Hardware issue,Pending Customer Response,Medium,Email,2023-06-01 15:51:28,,
38,39,Female,Amazon Kindle,2020-09-02,Product Inquiry,Product compatibility,Open,Medium,Chat,,,
39,19,Male,Google Pixel,2021-09-10,Technical Issue,Account access,Closed,Critical,Phone,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0
40,33,Other,Amazon Echo,2021-10-22,Product Inquiry,Account access,Pending Customer Response,Medium,Social Media,2023-05-31 22:19:32,,
41,19,Female,PlayStation,2021-02-07,Product Inquiry,Installation support,Pending Customer Response,Low,Phone,2023-06-01 09:11:33,,
42,35,Male,Dell XPS,2021-06-09,Billing Inquiry,Product compatibility,Closed,Critical,Chat,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0
43,22,Male,Samsung Galaxy,2020-10-10,Product Inquiry,Product compatibility,Pending Customer Response,Medium,Phone,2023-06-01 18:41:35,,
44,54,Female,iPhone,2020-01-16,Technical Issue,Hardware issue,Open,Low,Email,,,
45,34,Other,HP Pavilion,2021-09-25,Refund Request,Product compatibility,Closed,Critical,Email,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0
46,65,Female,LG Smart TV,2021-02-01,Product Inquiry,Cancellation request,Open,Low,Chat,,,
47,50,Female,Nintendo Switch Pro Controller,2020-10-15,Refund Request,Network problem,Closed,High,Phone,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0
48,27,Female,GoPro Hero,2020-07-29,Technical Issue,Software bug,Closed,Medium,Social Media,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0
49,32,Other,LG OLED,2021-02-15,Cancellation Request,Network problem,Open,High,Chat,,,
50,44,Male,Microsoft Office,2020-09-27,Technical Issue,Display issue,Open,Medium,Chat,,,
51,66,Male,Sony Xperia,2020-12-22,Refund Request,Software bug,Open,Medium,Chat,,,
52,64,Male,LG Smart TV,2020-11-20,Refund Request,Software bug,Closed,Medium,Chat,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0
53,54,Male,Nest Thermostat,2021-10-10,Refund Request,Network problem,Closed,High,Social Media,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0
